Umur (bulan),Jenis Kelamin,Tinggi Badan (cm),Berat Badan (kg)
0.0,0,50.82485632183908,3.5045258620689657
0.0,1,49.9226250906454,3.372878897751994
1.0,0,55.70794326241135,4.749432624113475
1.0,1,54.56812585499316,4.418673050615595
2.0,0,59.37684996605567,5.879226069246436
2.0,1,58.2078541374474,5.451051893408135
3.0,0,62.574306964164975,6.76686950642326
3.0,1,60.887425149700604,6.29294743845642
4.0,0,65.05264567983926,7.343670462156732
4.0,1,63.30565912117177,6.8131824234354195
5.0,0,66.97185385656292,7.877537212449256
5.0,1,65.21109634551495,7.385049833887043
6.0,0,68.71392045454546,8.241619318181819
6.0,1,66.93695501730103,7.794256055363323
7.0,0,70.23385030343897,8.687390424814565
7.0,1,68.37896156439649,8.26001348617667
8.0,0,71.73023588277341,8.990278770550393
8.0,1,69.85723314606741,8.54564606741573
9.0,0,73.19789750328515,9.348817345597897
9.0,1,71.32575757575758,8.771143250688706
10.0,0,74.3849082256968,9.447246770904147
10.0,1,72.71182001343183,9.075016789791807
11.0,0,75.56524064171123,9.611831550802139
11.0,1,74.06894664842682,9.490082079343365
12.0,0,76.9186319218241,9.94768729641694
12.0,1,75.37599219258296,9.64053350683149
13.0,0,78.11036931818181,10.268110795454545
13.0,1,76.63969035890219,9.904011259676285
14.0,0,79.24526979677645,10.333496846531183
14.0,1,77.76650879566982,10.035182679296346
15.0,0,80.35787716955942,10.604806408544727
15.0,1,78.94708249496982,10.524010731052984
16.0,0,81.64771068347711,10.725945587259456
16.0,1,80.1051677852349,10.445369127516779
17.0,0,82.74901823281908,10.890532959326787
17.0,1,81.13980066445183,10.763986710963454
18.0,0,83.67615587846764,11.102972258916777
18.0,1,82.1858407079646,11.048127978216474
19.0,0,84.95233050847457,11.378036723163842
19.0,1,83.13830947511929,11.08875255623722
20.0,0,85.94031677465803,11.711159107271417
20.0,1,84.4960451977401,11.343079096045198
21.0,0,86.93523676880223,11.616852367688022
21.0,1,86.24082089552239,11.537611940298508
22.0,0,87.93745704467354,11.743986254295532
22.0,1,87.15874906924795,11.693000744601639
23.0,0,88.97994330262225,12.008291991495394
23.0,1,88.06766691672918,11.946736684171043
24.0,0,89.54766355140187,12.120848310567936
24.0,1,89.13435635123615,12.131969309462916
